sample_id,qpcr_bacteria,qpcr_crispatus,qpcr_iners
UNCH092,3093064.2,0,26.840000000000003
UNCH042,8275.04,0,76.04
UNCH015,7532202.4,0,554.964
UNCH035,4794320.4,12.994,204308.968
UNCH019,5328343.6,0,107806.148
UNCH040,5803.97,0,121045.08599999998
YOG083,11559331.2,0,89.092
YOG030,160947.02,38.586,1555847.2
YOG059,13493009,0,211.492
YOG050,142850.24,1119.092,3854096.8
UNCH098,17763592,0,3779.112
UNCH061,707055.56,0,108155.72
YOG086,35260360,0,18639.404
YOG076,140613.04,812.958,207412.4
YOG027,4230719.6,0,12.24
YOG066,116203.94,7.019999999999999,644236.44
UNCH073,3498543.8,0,22.884
UNCH006,271387.28,308138.54,207412.4
YOG094,3660917.6,0,7.134
YOG013,115722.008,12.91,893576.4
UNCH046,12402062,0,39778.45
UNCH028,538678.6,1040093.88,32352.745999999996
YOG078,126400280,0,3.126
YOG009,824394.76,0,800305.54
YOG004,4822753.4,0,19747.77
YOG014,25962.546,116559.94,3670552
UNCH017,3076597.8,0,0
UNCH067,405399.66,3.88,154013.88
UNCH060,4820342,0,796.242
UNCH025,159001,0,296150.66
UNCH100,65059240,0,18639.404
UNCH074,360572.2,65541.492,304550.28
YOG053,360572.2,0,108155.72
YOG020,148322.06,51.352,76.04
YOG064,15432550,0,7.76
YOG018,1060301.6,21060.826,529578.32
UNCH012,5856783.6,0,15.669999999999998
UNCH049,522494.32,11636.088,621080.8
UNCH055,6596612,2011.896,8.24
UNCH051,111518.86000000002,0,234500.53200000004
YOG016,9729084,0,7.48
YOG023,154948.18,518340.34,138176.18
UNCH026,9729084,0,22.04
UNCH063,147591.74,0,2350546.8
UNCH057,4820342,0,89.092
UNCH091,1537732.6,0,176325.86
UNCH008,1763754.8799999997,0,12046.136
UNCH075,451009.44000000006,61.69199999999999,2479934
UNCH001,13493009,0,8.24
UNCH036,893120.76,2011.896,177287.84
UNCH068,3217956,0,814.798
UNCH043,65113.37999999999,0,471898.8
YOG084,4965959,0,66730.32
YOG045,23290.524,539327.8,138176.18
UNCH048,39892616,0,3779.112
UNCH070,786172.4,30850.4,704663.2
YOG080,65059240,0,32352.745999999996
YOG022,6972680.4,38.586,32352.745999999996
YOG089,2929231,0,0
YOG093,87099.696,73925.132,668760.88
UNCH047,3093064.2,0,12.24
UNCH088,69872.06,0,405213.43999999994
UNCH041,1376318,0,4.484
UNCH099,1605291.12,0,321732.38
YOG003,22579268,0,101.636
YOG054,370825.72,37.678,2076.06
UNCH039,11559331.2,0,7.134
UNCH032,451009.44000000006,6572278.4,40735.414
YOG034,17831680,0,0
YOG071,957601.12,8.318,595635.2
UNCH010,22954024,0,7.76
UNCH056,6404126,0,395319.22
UNCH077,39833824,0,9852.632
UNCH005,557199,0,1555847.2
UNCH082,2710237.8000000003,0,19.16
UNCH090,33144.340000000004,30850.4,440935.12
YOG065,4183143,0,0.994
YOG096,4837.342,1119.092,176325.86
UNCH072,54468164,0,177.456
UNCH058,1459300.6,146.764,257991.35999999996
YOG029,8386368.4,0,0
YOG044,65113.37999999999,30.268,142981.54
YOG087,3660917.6,0,0
YOG052,249047.3,55.714,326840.58
YOG031,7262026.6,0,12.512
YOG097,10615.304,0,140218.968
UNCH101,65059240,0,814.798
UNCH021,824394.76,0,395319.22
YOG011,15938460,0,22.04
YOG062,399077,0,108155.72
YOG095,12402062,8.678,1220.96
YOG038,4251.668,187931.72,308588.1
YOG081,22579268,0,0
YOG024,620384.9199999999,57770.704000000005,28.112
YOG069,78581750,0,39642.44
YOG037,116203.94,0,525298.88
YOG033,3890694.8,0,0
YOG085,262863.24,147887.68,893576.4
YOG102,4230719.6,0,0
YOG079,1578099.2,812.958,415584.58
YOG002,7532202.4,0,12.24
YOG007,78108.45999999999,4586.006,63530.266
