sample_id,live_cd19_negative,cd45_negative,cd45_positive,neutrophils,non_neutrophils,cd3_negative,cd3_positive,cd4_t_cells,cd8_t_cells
SAMP048,445953,393595,50445,42589,7856,2784,3734,1905,1390
SAMP010,333240,240537,90305,65707,24596,14864,8853,4896,2951
SAMP097,169406,80198,80880,54903,25973,13724,10665,5828,2759
SAMP033,669290,586660,70474,60023,10450,7045,2470,1336,838
SAMP036,194745,136587,56149,39461,16688,5694,8971,4586,2963
SAMP073,171091,116438,50330,36794,13535,8522,3806,2401,1063
SAMP009,194745,136587,56149,39461,16688,5694,8971,4586,2963
SAMP058,669290,586660,70474,60023,10450,7045,2470,1336,838
SAMP078,102000,21523,78723,69204,9518,5669,2834,1148,1105
SAMP074,127653,62315,61377,39475,21901,14285,6910,4080,2119
SAMP012,526335,445947,78615,51813,26802,11273,14040,8204,5002
SAMP090,628466,300941,299545,271274,28268,15520,11151,5902,2921
SAMP024,243332,158440,81326,63997,17306,10060,3137,1469,863
SAMP094,169406,80198,80880,54903,25973,13724,10665,5828,2759
SAMP045,116857,85142,31210,16609,14600,3896,9291,5478,2122
SAMP002,105670,39124,62616,57525,5089,3078,1765,765,248
SAMP043,171343,51875,115304,97190,18112,12463,4864,2372,1803
SAMP060,114166,65634,45731,36518,9212,2528,5884,3783,1708
SAMP046,384921,246459,133688,100402,33280,19159,11935,6178,4845
SAMP025,648283,554121,90897,77109,13780,6618,5571,2918,1951
SAMP108,1262384,1072522,161738,94093,67636,49961,11418,5994,2312
SAMP044,164828,50302,104700,76742,27946,18788,6104,4056,1263
SAMP027,127653,62315,61377,39475,21901,14285,6910,4080,2119
SAMP037,445953,393595,50445,42589,7856,2784,3734,1905,1390
SAMP049,146741,36524,107272,73659,33612,15769,15924,6676,7118
SAMP062,549687,205464,318081,227328,90728,62957,23887,15734,5017
SAMP088,1262384,1072522,161738,94093,67636,49961,11418,5994,2312
SAMP011,107451,72579,29942,22792,7143,2015,4379,217,996
SAMP098,160248,91157,66674,46049,20623,9506,8713,4545,2799
SAMP030,384029,356692,26327,19601,6726,1897,4076,2405,1310
SAMP004,738273,692237,44545,25732,18813,8681,8933,5307,2994
SAMP013,725240,674970,48010,43389,4619,1650,2437,1251,610
SAMP080,117694,24718,90939,84360,6576,4171,1786,940,531
SAMP077,450231,407701,40492,27185,13307,4277,7490,3740,2023
SAMP029,923980,883260,36129,26597,9527,1836,518,329,121
SAMP040,450231,407701,40492,27185,13307,4277,7490,3740,2023
SAMP106,450231,407701,40492,27185,13307,4277,7490,3740,2023
SAMP070,526335,445947,78615,51813,26802,11273,14040,8204,5002
SAMP095,549687,205464,318081,227328,90728,62957,23887,15734,5017
SAMP085,445953,393595,50445,42589,7856,2784,3734,1905,1390
SAMP101,311152,242778,63666,53461,10202,7273,2385,606,1167
SAMP038,538028,399479,126711,101067,25606,10257,5803,3726,1157
SAMP066,116857,85142,31210,16609,14600,3896,9291,5478,2122
SAMP099,102000,21523,78723,69204,9518,5669,2834,1148,1105
SAMP067,194745,136587,56149,39461,16688,5694,8971,4586,2963
SAMP086,160248,91157,66674,46049,20623,9506,8713,4545,2799
SAMP052,384921,246459,133688,100402,33280,19159,11935,6178,4845
SAMP001,158332,80327,71141,58727,12412,5839,5802,2740,2257
SAMP071,648283,554121,90897,77109,13780,6618,5571,2918,1951
SAMP076,642842,599735,40666,21982,18682,7440,10141,6723,1920
SAMP020,480664,80197,387308,351113,36186,23038,10910,7067,2178
SAMP031,214306,43971,160719,148526,12189,7920,3694,1713,1129
SAMP047,426305,91725,317068,295906,21158,14711,5291,2886,1623
SAMP103,738273,692237,44545,25732,18813,8681,8933,5307,2994
SAMP072,923980,883260,36129,26597,9527,1836,518,329,121
SAMP075,214306,43971,160719,148526,12189,7920,3694,1713,1129
SAMP035,214306,43971,160719,148526,12189,7920,3694,1713,1129
SAMP028,757957,585993,165764,143737,22020,12946,6031,3131,2178
SAMP056,445953,393595,50445,42589,7856,2784,3734,1905,1390
SAMP102,181994,145394,34638,16596,18040,8122,8973,6958,1098
SAMP096,321067,230962,83856,72602,11254,3110,7174,4003,2541
SAMP041,188735,88506,97267,67452,29810,18158,10208,6952,1987
SAMP026,384029,356692,26327,19601,6726,1897,4076,2405,1310
SAMP005,168895,163627,4739,3275,1463,469,716,332,154
SAMP087,384921,246459,133688,100402,33280,19159,11935,6178,4845
SAMP039,455176,335309,115347,79788,35557,24071,10146,6347,2937
SAMP053,455176,335309,115347,79788,35557,24071,10146,6347,2937
SAMP032,146741,36524,107272,73659,33612,15769,15924,6676,7118
SAMP019,105297,86201,16181,9476,6701,5216,768,37,96
SAMP007,117694,24718,90939,84360,6576,4171,1786,940,531
SAMP082,450231,407701,40492,27185,13307,4277,7490,3740,2023
SAMP093,256383,216538,35453,24705,10747,6040,3268,1526,1252
SAMP016,730775,402500,316299,213560,102724,49416,48298,15463,16780
SAMP091,434991,316559,111084,80832,30249,15702,12701,8934,2066
SAMP083,256074,154004,99455,63151,36303,22125,12271,8932,2146
SAMP059,445953,393595,50445,42589,7856,2784,3734,1905,1390
SAMP042,180469,66626,110558,84124,26432,10346,14909,5270,7953
SAMP054,171343,51875,115304,97190,18112,12463,4864,2372,1803
SAMP021,102000,21523,78723,69204,9518,5669,2834,1148,1105
SAMP068,117694,24718,90939,84360,6576,4171,1786,940,531
SAMP065,194745,136587,56149,39461,16688,5694,8971,4586,2963
SAMP061,262720,165475,90406,57527,32879,10996,19943,10642,5646
SAMP050,117694,24718,90939,84360,6576,4171,1786,940,531
SAMP079,107451,72579,29942,22792,7143,2015,4379,217,996
SAMP063,336056,153364,175600,135227,40366,27681,10643,4095,4215
SAMP069,171091,116438,50330,36794,13535,8522,3806,2401,1063
SAMP017,256074,154004,99455,63151,36303,22125,12271,8932,2146
SAMP092,107858,27141,76683,65196,11486,5378,4803,2224,1879
SAMP100,426305,91725,317068,295906,21158,14711,5291,2886,1623
SAMP105,256074,154004,99455,63151,36303,22125,12271,8932,2146
SAMP015,526335,445947,78615,51813,26802,11273,14040,8204,5002
SAMP034,190323,81315,103421,82575,20842,15683,3614,2249,748
SAMP023,290094,150152,132620,112281,20334,9618,8108,2616,4354
SAMP051,169406,80198,80880,54903,25973,13724,10665,5828,2759
SAMP081,450231,407701,40492,27185,13307,4277,7490,3740,2023
SAMP104,142405,71839,67740,61358,6376,2488,2463,1236,928
SAMP107,257760,156301,91291,63637,27581,12427,2745,989,812
SAMP022,333240,240537,90305,65707,24596,14864,8853,4896,2951
SAMP055,169406,80198,80880,54903,25973,13724,10665,5828,2759
SAMP089,768272,654749,108916,84898,24015,13845,8880,4210,3493
SAMP014,176015,85543,86933,76364,10569,4402,5647,2942,2165
SAMP003,310305,254821,49552,14106,35445,15124,17358,9294,4367
