Sobic.001G062300.v3.1,Sobic.002G211000.v3.1,Sobic.002G278700.v3.1,Sobic.008G179900.v3.1,Sobic.010G177800.v3.1,Sobic.001G291300.v3.1,Sobic.004G030200.v3.1,Sobic.010G229450.v3.1,Sobic.003G421700.v3.1,Barcode,libraryName,Block,Week,Replicate,Genotype,Condition,Sample.type,Day,Row,isFloweringWeek,Date.Harvested,Collection.Time,No.plants.pooled,FloweringJulianDate,FloweringDate,FloweringWeek,FloweringDay,Unreplicated,CompleteSampleTreatment,Timepoint,Group
6543,10563,37933,13547,666,3325,8233,11894,2669,0622162L05,BOCAX,Block 05,3,3,RT430,Preflowering,Leaves,Day21, Row2,FALSE,6/22/16,11:15 AM,15,230,2016-08-17,11,82,FALSE,RT430:03:Preflowering,3,RT430:Preflowering
6972,7907,46377,12288,434,2339,3873,12256,1750,0622162L13,BOCGY,Block 13,3,2,RT430,Preflowering,Leaves,Day21, Row2,FALSE,6/22/16,12:35 PM,15,228,2016-08-15,11,80,FALSE,RT430:03:Preflowering,3,RT430:Preflowering
5751,8500,41004,12787,564,1788,6520,10683,2477,0622162L18,BOPGU,Block 18,3,1,RT430,Preflowering,Leaves,Day21, Row2,FALSE,6/22/16,11:30 AM,15,228,2016-08-15,11,80,FALSE,RT430:03:Preflowering,3,RT430:Preflowering
10930,16516,38165,15640,903,3840,5861,18837,1874,0629164L05,BOCBN,Block 05,4,3,RT430,Preflowering,Leaves,Day28,Row4,FALSE,6/29/16,10:32 AM,15,230,2016-08-17,11,82,FALSE,RT430:04:Preflowering,4,RT430:Preflowering
5958,13175,38304,15212,723,2528,5491,13735,1600,0629164L13,BOCHO,Block 13,4,2,RT430,Preflowering,Leaves,Day28,Row4,FALSE,6/29/16,11:23 AM,10,228,2016-08-15,11,80,FALSE,RT430:04:Preflowering,4,RT430:Preflowering
5165,10777,42025,13383,522,1802,3064,9898,512,0629164L18,BOPHG,Block 18,4,1,RT430,Preflowering,Leaves,Day28,Row4,FALSE,6/29/16,11:50 AM,15,228,2016-08-15,11,80,FALSE,RT430:04:Preflowering,4,RT430:Preflowering
15066,18230,25481,15333,1548,3503,12652,13789,4086,0706165L13,CCHPU,Block 13,5,2,RT430,Preflowering,Leaves,Day35,Row5,FALSE,7/6/16,10:58AM,10,228,2016-08-15,11,80,FALSE,RT430:05:Preflowering,5,RT430:Preflowering
4804,10703,19492,9520,784,2600,7566,9140,463,0706165L05,BOCBY,Block 05,5,3,RT430,Preflowering,Leaves,Day35,Row5,FALSE,7/6/16,10:20AM,10,230,2016-08-17,11,82,FALSE,RT430:05:Preflowering,5,RT430:Preflowering
6546,10911,40035,10090,1892,5012,7970,7903,1840,0713166L05,BOCCO,Block 05,6,3,RT430,Preflowering,Leaves,Day42,Row6,FALSE,7/13/16,10:26 AM,10,230,2016-08-17,11,82,FALSE,RT430:06:Preflowering,6,RT430:Preflowering
7551,13309,35110,12030,1365,2634,6745,11380,2763,0713166L13,BOCHZ,Block 13,6,2,RT430,Preflowering,Leaves,Day42,Row6,FALSE,7/13/16,11:11 AM,10,228,2016-08-15,11,80,FALSE,RT430:06:Preflowering,6,RT430:Preflowering
10091,13911,40443,15145,1311,2479,6771,12789,6896,0713166L18,BOPHW,Block 18,6,1,RT430,Preflowering,Leaves,Day42,Row6,FALSE,7/13/16,11:40 AM,10,228,2016-08-15,11,80,FALSE,RT430:06:Preflowering,6,RT430:Preflowering
7159,8771,25248,5863,604,1703,6860,7326,523,0720167L05,BOCCZ,Block 05,7,3,RT430,Preflowering,Leaves,Day49,Row7,FALSE,7/20/16,10:24 AM,10,230,2016-08-17,11,82,TRUE,RT430:07:Preflowering,7,RT430:Preflowering
13643,26182,58899,16756,884,3471,7488,15270,3223,0727168L13,BOCPO,Block 13,8,2,RT430,Preflowering,Leaves,Day56,Row8,FALSE,7/27/16,11:09 AM,10,228,2016-08-15,11,80,FALSE,RT430:08:Preflowering,8,RT430:Preflowering
8221,23176,44657,10932,581,1785,5103,17898,898,0727168L05,BOCUP,Block 05,8,3,RT430,Preflowering,Leaves,Day56,Row8,FALSE,7/27/16,10:37 AM,10,230,2016-08-17,11,82,FALSE,RT430:08:Preflowering,8,RT430:Preflowering
11373,13282,41525,12325,690,1578,3976,13816,4280,0727168L18,BOPAN,Block 18,8,1,RT430,Preflowering,Leaves,Day56,Row8,FALSE,7/27/16,11:51 AM,10,228,2016-08-15,11,80,FALSE,RT430:08:Preflowering,8,RT430:Preflowering
7789,20378,11571,14209,1205,11103,16258,27488,25947,0803169L13,BOCSC,Block 13,9,2,RT430,Preflowering,Leaves,Day63,Row9,FALSE,8/3/16,11:15 AM,10,228,2016-08-15,11,80,FALSE,RT430:09:Preflowering,9,RT430:Preflowering
6277,19679,10037,9117,968,6208,9831,28112,14943,0803169L05,BOCWA,Block 05,9,3,RT430,Preflowering,Leaves,Day63,Row9,FALSE,8/3/16,10:40 AM,10,230,2016-08-17,11,82,FALSE,RT430:09:Preflowering,9,RT430:Preflowering
6807,20494,10111,11585,1511,9837,10243,23389,30237,0803169L18,BOPBC,Block 18,9,1,RT430,Preflowering,Leaves,Day63,Row9,FALSE,8/3/16,12:05 PM,10,228,2016-08-15,11,80,FALSE,RT430:09:Preflowering,9,RT430:Preflowering
17532,45109,40615,39076,2012,23618,35399,80658,33743,0810162L13,BOCSZ,Block 13,10,2,RT430,Preflowering,Leaves,Day70,Row2,FALSE,8/10/16,11:21 AM,10,228,2016-08-15,11,80,FALSE,RT430:10:Preflowering,10,RT430:Preflowering
7264,17722,17594,12447,1084,10615,10861,39854,13531,0810162L05,BOCWX,Block 05,10,3,RT430,Preflowering,Leaves,Day70,Row2,FALSE,8/10/16,10:45 AM,10,230,2016-08-17,11,82,FALSE,RT430:10:Preflowering,10,RT430:Preflowering
4363,17874,11413,12699,1254,9577,5106,27588,14561,0810162L18,BOPBZ,Block 18,10,1,RT430,Preflowering,Leaves,Day70,Row2,FALSE,8/10/16,12:13 PM,10,228,2016-08-15,11,80,FALSE,RT430:10:Preflowering,10,RT430:Preflowering
8907,23257,24907,15449,2247,13823,10873,29911,34028,0817163L13,BOCTW,Block 13,11,2,RT430,Preflowering,Leaves,Day77,Row3,TRUE,8/17/16,12:11 PM,10,228,2016-08-15,11,80,FALSE,RT430:11:Preflowering,11,RT430:Preflowering
6105,13316,17044,10420,540,6768,8366,25076,18472,0817163L05,BOCXT,Block 05,11,3,RT430,Preflowering,Leaves,Day77,Row3,TRUE,8/17/16,11:31 AM,10,230,2016-08-17,11,82,FALSE,RT430:11:Preflowering,11,RT430:Preflowering
7086,15451,18958,15779,1936,11298,9179,25643,25589,0817163L18,BOPCW,Block 18,11,1,RT430,Preflowering,Leaves,Day77,Row3,TRUE,8/17/16,12:51 PM,10,228,2016-08-15,11,80,FALSE,RT430:11:Preflowering,11,RT430:Preflowering
13789,18248,20851,20298,1649,12854,25091,25429,23154,0824164L18,BZNNZ,Block 18,12,1,RT430,Preflowering,Leaves,Day84,Row4,FALSE,8/24/16,12:31 PM,10,228,2016-08-15,11,80,FALSE,RT430:12:Preflowering,12,RT430:Preflowering
13926,21549,26199,21939,2931,19212,33174,19818,37308,0824164L13,BZNNY,Block 13,12,2,RT430,Preflowering,Leaves,Day84,Row4,FALSE,8/24/16,11:40 AM,10,228,2016-08-15,11,80,FALSE,RT430:12:Preflowering,12,RT430:Preflowering
9459,18827,12402,12006,1028,7348,14363,31725,10288,0824164L05,BOPTG,Block 05,12,3,RT430,Preflowering,Leaves,Day84,Row4,FALSE,8/24/16,11:00 AM,10,230,2016-08-17,11,82,FALSE,RT430:12:Preflowering,12,RT430:Preflowering
8919,16137,33453,17941,2531,15208,20086,25313,36250,0831165L13,BOCNW,Block 13,13,2,RT430,Preflowering,Leaves,Day91,Row5,NA,8/31/16,11:32 AM,10,NA,NA,NA,NA,FALSE,RT430:13:Preflowering,13,RT430:Preflowering
11333,23565,18859,18233,2399,11584,14095,50041,30136,0831165L18,BOPNS,Block 18,13,1,RT430,Preflowering,Leaves,Day91,Row5,NA,8/31/16,12:30 PM,10,NA,NA,NA,NA,FALSE,RT430:13:Preflowering,13,RT430:Preflowering
7477,24295,33304,14392,2504,11643,17072,47158,27566,0831165L05,BOPUA,Block 05,13,3,RT430,Preflowering,Leaves,Day91,Row5,NA,8/31/16,10:52 AM,10,NA,NA,NA,NA,FALSE,RT430:13:Preflowering,13,RT430:Preflowering
12713,14230,13256,13869,2069,13209,25633,41413,23945,0907166L05,BOPUX,Block 05,14,3,RT430,Preflowering,Leaves,Day98,Row6,FALSE,9/7/16,10:54 AM,10,230,2016-08-17,11,82,TRUE,RT430:14:Preflowering,14,RT430:Preflowering
7695,22150,17099,12249,2115,11207,15207,30746,29778,0803169L03,BOCPY,Block 03,9,2,RT430,Postflowering,Leaves,Day63,Row9,TRUE,8/3/16,10:24 AM,10,216,2016-08-03,9,68,FALSE,RT430:09:Postflowering,9,RT430:Postflowering
7428,16408,13708,12358,1807,7908,9249,33318,35669,0803169L22,BOCWU,Block 22,9,3,RT430,Postflowering,Leaves,Day63,Row9,TRUE,8/3/16,12:42 PM,10,216,2016-08-03,9,68,FALSE,RT430:09:Postflowering,9,RT430:Postflowering
